Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error
SIM-0419,DBS,Separate UGA NNLS,65,0.012628115655796779,0.998065560364217,12,12,1.0,
SIM-0419,ID,Separate categorical NNLS,170,0.002412287195623487,0.9999020517260331,12,12,1.0,
SIM-0419,ID,Separate UGA NNLS,170,0.003502843722426869,0.9997945152888295,12,12,1.0,
SIM-0419,SBS,Naive pooled UGA NNLS,1561,0.002008488702044038,0.9999207670071327,12,12,1.0,0.0021490145278003636
SIM-0419,DBS,Naive pooled UGA NNLS,65,0.030846011873289576,0.9774149729601026,12,12,1.0,0.001300299515558094
SIM-0419,ID,Naive pooled UGA NNLS,170,0.013983689548332965,0.9976841497646078,12,12,1.0,0.0034493140433584646
SIM-0420,SBS,Separate categorical NNLS,1656,0.0017357492998395015,0.9999293236368516,10,10,1.0,
SIM-0420,SBS,Separate UGA NNLS,1656,0.0015486572038086075,0.9999414844958947,10,10,1.0,
SIM-0420,DBS,Separate categorical NNLS,48,0.007445222722983868,0.9976572897364246,10,10,1.0,
SIM-0420,DBS,Separate UGA NNLS,48,0.00098736507752249,0.9999518848370947,10,10,1.0,
SIM-0420,ID,Separate categorical NNLS,106,0.003073253683153475,0.9994640436684744,10,10,1.0,
SIM-0420,ID,Separate UGA NNLS,106,0.002392656339196768,0.999873456878594,10,10,1.0,
SIM-0420,SBS,Naive pooled UGA NNLS,1656,0.002473487327969722,0.9998375267444117,10,10,1.0,0.0025138990668257533
SIM-0420,DBS,Naive pooled UGA NNLS,48,0.022646521076328474,0.9723042384131192,10,10,1.0,0.004191554869587895
SIM-0420,ID,Naive pooled UGA NNLS,106,0.00832107323286443,0.9978885663132404,10,10,1.0,0.006705453936413627
SIM-0421,SBS,Separate categorical NNLS,1269,0.0030074992634462876,0.999714926760586,1,1,1.0,
SIM-0421,SBS,Separate UGA NNLS,1269,0.0007486421540582605,0.999988626748736,1,1,1.0,
SIM-0421,DBS,Separate categorical NNLS,53,0.0422031919153178,0.8721388040477931,1,3,0.0,
SIM-0421,DBS,Separate UGA NNLS,53,0.002365607530832844,0.9998425056255309,1,1,1.0,
SIM-0421,ID,Separate categorical NNLS,59,0.004365838573620358,0.9989299535294957,1,1,1.0,
SIM-0421,ID,Separate UGA NNLS,59,0.003062054356745699,0.9998123540887892,1,1,1.0,
SIM-0421,SBS,Naive pooled UGA NNLS,1269,0.0023676066142526426,0.9998449323395049,1,1,1.0,0.00734931646519954
SIM-0421,DBS,Naive pooled UGA NNLS,53,0.062196425458660616,0.8567705594349891,1,1,1.0,0.003992919043001697
SIM-0421,ID,Naive pooled UGA NNLS,59,0.06838143650165522,0.7473769490539851,1,3,0.0,0.0033563974221976003
SIM-0422,SBS,Separate categorical NNLS,550,0.01596663617062849,0.9867982348815681,2,2,1.0,
SIM-0422,SBS,Separate UGA NNLS,550,0.0010780657856028048,0.9999582151315561,2,2,1.0,
SIM-0422,DBS,Separate categorical NNLS,33,0.011123604819098179,0.9944631518222641,2,2,1.0,
SIM-0422,DBS,Separate UGA NNLS,33,0.008201113434819302,0.9988237669145685,2,2,1.0,
SIM-0422,ID,Separate categorical NNLS,222,0.0033328587497028733,0.9995787988841751,2,2,1.0,
SIM-0422,ID,Separate UGA NNLS,222,0.003845000996140467,0.9996557771719051,2,2,1.0,
SIM-0422,SBS,Naive pooled UGA NNLS,550,0.006017709152185173,0.9981152525114481,2,2,1.0,0.013819954418699099
SIM-0422,DBS,Naive pooled UGA NNLS,33,0.09459667291131614,0.518261800620386,2,6,0.0,0.0025853961660675592
SIM-0422,ID,Naive pooled UGA NNLS,222,0.006381885298853609,0.9988420739958968,2,2,1.0,0.016405350584766665
SIM-0423,SBS,Separate categorical NNLS,1193,0.012381311578387476,0.9938361486655788,6,6,1.0,
SIM-0423,SBS,Separate UGA NNLS,1193,0.0014307806309172442,0.9999660589588543,6,6,1.0,
SIM-0423,DBS,Separate categorical NNLS,43,0.003599002394177439,0.999476090388223,6,6,1.0,
SIM-0423,DBS,Separate UGA NNLS,43,0.006307846625828971,0.9993380179189685,6,6,1.0,
SIM-0423,ID,Separate categorical NNLS,151,0.003820886611375923,0.9996164291441406,6,6,1.0,
SIM-0423,ID,Separate UGA NNLS,151,0.001825342164540076,0.9998857565501375,6,6,1.0,
SIM-0423,SBS,Naive pooled UGA NNLS,1193,0.003070878097425392,0.9996378096428884,6,6,1.0,0.007847384361066023
