Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0452,DBS,UGA unsupervised bridge,0.015993274127847925,0.9882256918294127,1.0
SIM-0452,DBS,Oracle label bridge,0.015993274127847918,0.9882256918294128,1.0
SIM-0452,DBS,Standard no-bridge cohort mean,0.11664878043304505,0.4088773342432549,0.0
SIM-0452,DBS,Standard random bridge,0.14028533799269569,0.12839889529532533,0.0
SIM-0492,DBS,UGA unsupervised bridge,0.005145256640974766,0.9991227807522489,1.0
SIM-0492,DBS,Oracle label bridge,0.005145256640974766,0.9991227807522489,1.0
SIM-0492,DBS,Standard no-bridge cohort mean,0.13222710504024554,0.3533067494680821,0.0
SIM-0492,DBS,Standard random bridge,0.15734259664275882,0.023188663672003985,0.0
SIM-0288,DBS,UGA unsupervised bridge,0.008859689594218042,0.9984200568982989,1.0
SIM-0288,DBS,Oracle label bridge,0.008859689594218048,0.9984200568982992,1.0
SIM-0288,DBS,Standard no-bridge cohort mean,0.13728564503165033,0.3672980337823249,0.0
SIM-0288,DBS,Standard random bridge,0.041537067244036725,0.929946640121201,1.0
SIM-0478,DBS,UGA unsupervised bridge,0.030546355504082467,0.9581267522792396,0.0
SIM-0478,DBS,Oracle label bridge,0.030546355504082464,0.9581267522792394,0.0
SIM-0478,DBS,Standard no-bridge cohort mean,0.11152655689222057,0.5483727979288985,0.0
SIM-0478,DBS,Standard random bridge,0.09146367388235378,0.5307696407290193,1.0
SIM-0507,DBS,UGA unsupervised bridge,0.009568240904345661,0.9972924855244827,1.0
SIM-0507,DBS,Oracle label bridge,0.009568240904345661,0.9972924855244827,1.0
SIM-0507,DBS,Standard no-bridge cohort mean,0.11568626097014935,0.4113857697714967,0.0
SIM-0507,DBS,Standard random bridge,0.16410896467090688,0.0024419599768404536,0.0
SIM-0412,DBS,UGA unsupervised bridge,0.009695305858612531,0.9980102636507469,1.0
SIM-0412,DBS,Oracle label bridge,0.009695305858612542,0.9980102636507469,1.0
SIM-0412,DBS,Standard no-bridge cohort mean,0.1248275728301731,0.3126437734963872,0.0
SIM-0412,DBS,Standard random bridge,0.13933898721698593,0.03401800473927836,0.0
SIM-0160,DBS,UGA unsupervised bridge,0.015601390339607899,0.9893552811158983,0.0
SIM-0160,DBS,Oracle label bridge,0.015601390339607899,0.9893552811158983,0.0
SIM-0160,DBS,Standard no-bridge cohort mean,0.11881935844334394,0.4426631797147765,0.0
SIM-0160,DBS,Standard random bridge,0.16402416330131134,0.009774037054478647,0.0
SIM-0259,DBS,UGA unsupervised bridge,0.009368903225703771,0.9988266893446307,1.0
SIM-0259,DBS,Oracle label bridge,0.009368903225703771,0.9988266893446307,1.0
SIM-0259,DBS,Standard no-bridge cohort mean,0.1343129817586043,0.2830115822697283,0.0
SIM-0259,DBS,Standard random bridge,0.14022758619717526,0.15776225502690558,0.0
SIM-0017,DBS,UGA unsupervised bridge,0.025361549307450867,0.9731880092506381,1.0
SIM-0017,DBS,Oracle label bridge,0.025361549307450867,0.9731880092506381,1.0
SIM-0017,DBS,Standard no-bridge cohort mean,0.1258200142347759,0.43133519418968036,0.0
SIM-0017,DBS,Standard random bridge,0.10794160420507987,0.37082587646736587,0.0
SIM-0225,DBS,UGA unsupervised bridge,0.006547208482547574,0.9993901573227411,1.0
SIM-0225,DBS,Oracle label bridge,0.006547208482547598,0.9993901573227411,1.0
SIM-0225,DBS,Standard no-bridge cohort mean,0.13898043629353132,0.2547135145539161,0.0
SIM-0225,DBS,Standard random bridge,0.16655540307204308,0.000754335982717441,0.0
SIM-0083,DBS,UGA unsupervised bridge,0.011933220568469925,0.9972751106991999,1.0
SIM-0083,DBS,Oracle label bridge,0.01193322056846993,0.9972751106991999,1.0
SIM-0083,DBS,Standard no-bridge cohort mean,0.13041180634968697,0.2976870477035495,0.0
SIM-0083,DBS,Standard random bridge,0.14742434126479417,0.15050296398843852,0.0
SIM-0111,DBS,UGA unsupervised bridge,0.03294225734804292,0.983438032459828,1.0
SIM-0111,DBS,Oracle label bridge,0.03294225734804292,0.983438032459828,1.0
SIM-0111,DBS,Standard no-bridge cohort mean,0.1316379167287934,0.35044100386341764,0.0
